task_id	annotation_type	turns_n	user_type	interaction_style	proactive	ext_knowledge	doc_filename	category	subcategory
TASK_01040	fully_manual	12	Operatore PA	Lei	False	False	Plan_59399.txt	AmiciFamiglia	AmiciFamiglia
TASK_01041	fully_manual	12	Operatore PA	Lei	False	False	Plan_57328.txt	AmiciFamiglia	AmiciFamiglia
TASK_01042	fully_manual	14	Operatore PA	Lei	False	False	Plan_57572_2.txt	AmiciFamiglia	AmiciFamiglia
TASK_01043	fully_manual	10	Operatore PA	Lei	False	False	Plan_57572.txt	AmiciFamiglia	AmiciFamiglia
TASK_01044	fully_manual	8	Operatore PA	Lei	False	False	Plan_57667.txt	AmiciFamiglia	AmiciFamiglia
TASK_01045	fully_manual	11	Operatore PA	Lei	False	False	ala__2023.txt	AmiciFamiglia	AmiciFamiglia
TASK_01046	fully_manual	8	Operatore PA	Lei	False	False	albignasego__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01047	fully_manual	8	Operatore PA	Lei	False	False	aldeno__2023.txt	AmiciFamiglia	AmiciFamiglia
TASK_01048	fully_manual	10	Operatore PA	Lei	False	False	alghero__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01049	fully_manual	10	Operatore PA	Lei	False	False	altavalle__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01050	fully_manual	10	Operatore PA	Lei	False	False	andalo__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01051	fully_manual	8	Operatore PA	Lei	False	False	arco__2019.txt	AmiciFamiglia	AmiciFamiglia
TASK_01052	fully_manual	12	Operatore PA	Lei	False	False	altavalle__2023.txt	AmiciFamiglia	AmiciFamiglia
TASK_01053	fully_manual	8	Operatore PA	Lei	False	False	andalo__2023.txt	AmiciFamiglia	AmiciFamiglia
TASK_01054	fully_manual	8	Operatore PA	Lei	False	False	arco__2021.txt	AmiciFamiglia	AmiciFamiglia
TASK_01055	fully_manual	12	Operatore PA	Lei	False	False	ascoli_piceno__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01056	fully_manual	6	Operatore PA	Lei	False	False	baselga_di_pine'__2019.txt	AmiciFamiglia	AmiciFamiglia
TASK_01057	fully_manual	12	Operatore PA	Lei	False	False	arco__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01058	fully_manual	10	Operatore PA	Lei	False	False	baselga_di_pine'__2019.txt	AmiciFamiglia	AmiciFamiglia
TASK_01059	fully_manual	8	Operatore PA	Lei	False	False	beinasco__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01060	fully_manual	14	Operatore PA	Lei	False	False	arco__2023.txt	AmiciFamiglia	AmiciFamiglia
TASK_01061	fully_manual	8	Operatore PA	Lei	False	False	baselga_di_pine'__2023.txt	AmiciFamiglia	AmiciFamiglia
TASK_01062	fully_manual	6	Operatore PA	Lei	False	False	bieno__2022.txt	AmiciFamiglia	AmiciFamiglia
TASK_01063	fully_manual	4	Operatore PA	Lei	False	False	bleggio_superiore__2023.txt	AmiciFamiglia	AmiciFamiglia
TASK_01064	fully_manual	10	Operatore PA	Lei	False	False	bocenago__2023.txt	AmiciFamiglia	AmiciFamiglia
