task_id	annotation_type	turns_n	user_type	interaction_style	proactive	ext_knowledge	doc_filename	category	subcategory
TASK_00001	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0001.txt	Comune	Milano
TASK_00002	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0002.txt	Comune	Milano
TASK_00003	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0003.txt	Comune	Milano
TASK_00004	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0004.txt	Comune	Milano
TASK_00005	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0006.txt	Comune	Milano
TASK_00006	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0007.txt	Comune	Milano
TASK_00007	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0009.txt	Comune	Milano
TASK_00008	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0010.txt	Comune	Milano
TASK_00009	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0012.txt	Comune	Milano
TASK_00010	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0013.txt	Comune	Milano
TASK_00011	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0014.txt	Comune	Milano
TASK_00012	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0017.txt	Comune	Milano
TASK_00013	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0019.txt	Comune	Milano
TASK_00014	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0020.txt	Comune	Milano
TASK_00015	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0021.txt	Comune	Milano
TASK_00016	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0022.txt	Comune	Milano
TASK_00017	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0024.txt	Comune	Milano
TASK_00018	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0027.txt	Comune	Milano
TASK_00019	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0028.txt	Comune	Milano
TASK_00020	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0030.txt	Comune	Milano
TASK_00021	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0031.txt	Comune	Milano
TASK_00022	edit_with_ground_SBERT	9	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0033.txt	Comune	Milano
TASK_00023	edit_with_ground_SBERT	12	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0034.txt	Comune	Milano
TASK_00024	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0035.txt	Comune	Milano
TASK_00025	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0037.txt	Comune	Milano
TASK_00026	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0039.txt	Comune	Milano
TASK_00027	edit_with_ground_SBERT	9	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0042.txt	Comune	Milano
TASK_00028	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0043.txt	Comune	Milano
TASK_00029	edit_with_ground_SBERT	12	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0045.txt	Comune	Milano
TASK_00030	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0046.txt	Comune	Milano
TASK_00031	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0047.txt	Comune	Milano
TASK_00032	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0048.txt	Comune	Milano
TASK_00033	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0049.txt	Comune	Milano
TASK_00034	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0050.txt	Comune	Milano
TASK_00035	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0052.txt	Comune	Milano
TASK_00036	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0053.txt	Comune	Milano
TASK_00037	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0054.txt	Comune	Milano
TASK_00038	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0055.txt	Comune	Milano
TASK_00039	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0059.txt	Comune	Milano
TASK_00040	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0060.txt	Comune	Milano
TASK_00041	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0062.txt	Comune	Milano
TASK_00042	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0063.txt	Comune	Milano
TASK_00043	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0064.txt	Comune	Milano
TASK_00044	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0036.txt	Comune	Milano
TASK_00045	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0065.txt	Comune	Milano
TASK_00046	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0066.txt	Comune	Milano
TASK_00047	edit_with_ground_SBERT	5	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0067.txt	Comune	Milano
TASK_00048	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0069.txt	Comune	Milano
TASK_00049	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0071.txt	Comune	Milano
TASK_00050	edit_with_ground_SBERT	5	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0072.txt	Comune	Milano
